quantity,z,n_sims,in_flat_window,Ap_ref,flat_mean,lin_intercept,lin_slope,flat_rms,lin_resid_rms,flat_frac_spread,lin_frac_spread,loo_slope_min,loo_slope_max
dndx_DLA,3.4,3,1,1.8633333333333333e-09,1.1467804425454184,1.1467804425454184,2906739.9147043717,0.005151505772902748,0.00499865606228166,0.004492146518882337,0.004358860577693961,-10465417.650173852,36977320.84642932
dndx_DLA,3.6,3,1,1.8633333333333333e-09,1.1777348966897883,1.1777348966897887,-23912061.753260218,0.012102902164260876,0.006441078854032218,0.010276423156245105,0.0054690396558137976,-41142917.457424305,19989998.250395305
dndx_DLA,3.8,3,1,1.8633333333333333e-09,1.1731144118979477,1.1731144118979477,-16485004.288976997,0.009731565057476434,0.006693506867653278,0.008295495272052807,0.005705757937816183,-34391142.93517082,29137591.986899436
dndx_DLA,4.0,3,1,1.8633333333333333e-09,1.1770150767895309,1.177015076789531,-20955326.519510593,0.00933116176222479,0.002537191599444088,0.007927818382477143,0.002155615207890645,-38248693.10666844,-14167956.99111633
dndx_DLA,4.2,3,1,1.8633333333333333e-09,1.1845646147382967,1.1845646147382969,-37708960.43518783,0.018696247487569023,0.009404529169006054,0.015783223012870044,0.007939228516532866,-62867491.90935349,26391823.49254874
dndx_DLA,4.4,3,1,1.8633333333333333e-09,1.1966555535604975,1.1966555535604972,-37651137.08468489,0.01632015147315067,0.002458249413648785,0.013638136241119777,0.002054266498270596,-44227324.380531386,-20895836.348939653
dndx_DLA,4.6,3,1,1.8633333333333333e-09,1.201336143379505,1.201336143379505,-39916545.2219316,0.01719593980035123,0.0017690232707278876,0.014314011856812163,0.001472546447950371,-44648948.81549105,-27858974.19394469
dndx_DLA,4.8,3,0,1.8633333333333333e-09,1.212942482601399,1.212942482601399,-55216672.819835916,0.02427987995627302,0.005447042685890354,0.02001733825350064,0.004490767504661949,-69788332.11201218,-18089911.87532041
dndx_DLA,5.0,3,0,1.8633333333333333e-09,1.2244956335392831,1.2244956335392834,-75460551.59754685,0.0331055554746977,0.007097797504792616,0.027036074746146197,0.005796506994702085,-94448228.56813681,-27082331.269732405
dndx_DLA,5.2,3,0,1.8633333333333333e-09,1.2330282974706088,1.233028297470609,-74223070.9196514,0.03223854957307983,0.005266636249794921,0.02614583107233862,0.004271302013586156,-88312115.83325744,-38325950.90361871
dndx_DLA,5.4,3,0,1.8633333333333333e-09,1.230762607237556,1.230762607237556,-110887326.39980668,0.04832157711173878,0.008783855934643344,0.03926149269370188,0.00713692135509275,-134385463.52341297,-51017019.10419498
omega_LLS,2.2,3,0,1.8633333333333333e-09,1.3088998123081934,1.3088998123081936,20558803.759409938,0.010609058490354522,0.005911137239379802,0.008105325091036467,0.004516111304925427,4745621.662515087,60848809.153558895
omega_LLS,2.4,3,0,1.8633333333333333e-09,1.2816498559346552,1.281649855934655,23274162.084409367,0.019342300705324233,0.016572836073782096,0.015091719954369814,0.012930860950080784,-89685430.5910403,67608993.79002418
omega_LLS,2.6,3,1,1.8633333333333333e-09,1.2662023239929878,1.2662023239929876,18351741.101594623,0.00795010637617356,0.001167357675339409,0.0062787014567330605,0.0009219361339174684,15228883.562545892,26308390.58064798
omega_LLS,2.8,3,1,1.8633333333333333e-09,1.2422733852055867,1.2422733852055872,3224539.594250191,0.004414272215218665,0.004192440645234787,0.0035533822649578355,0.0033748132216009524,-7990870.3461346,31799997.9825045
omega_LLS,3.0,3,1,1.8633333333333333e-09,1.2442434161030806,1.2442434161030809,22642949.535131704,0.00971709620537193,0.0005275077388824162,0.007809642453890153,0.00042395863386165126,19047484.096867487,24054112.158272624
omega_LLS,3.2,3,1,1.8633333333333333e-09,1.2100481268538472,1.2100481268538474,1850989.1078892373,0.011014429446039952,0.010985833458800172,0.009102472208834967,0.00907884010147893,-27537769.42284504,76729861.20809427
omega_LLS,3.4,3,1,1.8633333333333333e-09,1.2014291557344252,1.2014291557344252,23206199.366625648,0.011245716442992647,0.005251712799250759,0.009360282617844594,0.004371221369303647,9157076.930101607,59001601.91636142
omega_LLS,3.6,3,1,1.8633333333333333e-09,1.1749279748004688,1.174927974800469,37555157.0329591,0.01616036815340441,0.0014760033698330366,0.01375434792600698,0.0012562500863797185,33606625.79140619,47615519.586577974
