quantity,z,n_sims,in_flat_window,R_mean,R_std_across_sims,frac_spread,lin_intercept,lin_slope_Ap,lin_resid_rms,lin_frac_spread,fractional_improvement
dndx_DLA,5.0,3,0,1.2244956335392831,0.04054585928220575,0.03311229388790221,1.2244956335392834,-75460551.59754685,0.007097797504792616,0.005796506994702085,0.8249439614686472
dndx_DLA,5.2,3,0,1.2330282974706088,0.039483998250733024,0.03202197251411758,1.233028297470609,-74223070.9196514,0.005266636249794921,0.004271302013586156,0.8666134007921261
dndx_DLA,5.4,3,0,1.230762607237556,0.05918160374515527,0.04808531181978973,1.230762607237556,-110887326.39980668,0.008783855934643344,0.00713692135509275,0.8515779333647677
omega_LLS,2.2,3,0,1.3088998123081934,0.012993389976355095,0.009926955336208477,1.3088998123081936,20558803.759409938,0.005911137239379802,0.004516111304925427,0.5450658180708285
omega_LLS,2.4,3,0,1.2816498559346552,0.02368938358975977,0.018483506614592537,1.281649855934655,23274162.084409367,0.016572836073782096,0.012930860950080784,0.3004108354703645
omega_LLS,2.6,3,1,1.2662023239929878,0.009736852011236138,0.007689807408132715,1.2662023239929876,18351741.101594623,0.001167357675339409,0.0009219361339174684,0.8801093336950895
omega_LLS,2.8,3,1,1.2422733852055867,0.00540635725651545,0.004351986705100938,1.2422733852055872,3224539.594250191,0.004192440645234787,0.0033748132216009524,0.22453503416144316
omega_LLS,3.0,3,1,1.2442434161030806,0.01190096374234794,0.009564819542803988,1.2442434161030809,22642949.535131704,0.0005275077388824162,0.00042395863386165126,0.9556752083022191
omega_LLS,3.2,3,1,1.2100481268538472,0.013489865975341932,0.011148206154755095,1.2100481268538474,1850989.1078892373,0.010985833458800172,0.00907884010147893,0.1856232316257902
omega_LLS,3.4,3,1,1.2014291557344252,0.013773133538679308,0.011463958130981005,1.2014291557344252,23206199.366625648,0.005251712799250759,0.004371221369303647,0.6186987670959342
omega_LLS,3.6,3,1,1.1749279748004688,0.019792328015682013,0.016845567081712587,1.174927974800469,37555157.0329591,0.0014760033698330366,0.0012562500863797185,0.9254254795765532
omega_LLS,3.8,3,1,1.1516539677083737,0.01784063171023934,0.015491312677661016,1.151653967708374,33960820.58411481,0.0006432175647510022,0.0005585163450015398,0.9639464804162827
omega_LLS,4.0,3,1,1.1300743249153575,0.0198390256297005,0.017555505148908183,1.1300743249153578,37801138.506562434,9.333355948401299e-05,8.259063800162318e-05,0.9952954564792594
omega_LLS,4.2,3,1,1.1029651751397715,0.011774795382989865,0.010675582192790196,1.1029651751397718,22435232.301429722,7.869412674499043e-05,7.134778914032171e-05,0.9933167308487862
omega_LLS,4.4,3,1,1.0821168062770232,0.020350508278851025,0.018806202954065637,1.0821168062770234,38771609.830733754,0.00026001122207610684,0.00024028018100066698,0.9872233548905351
omega_LLS,4.6,3,1,1.061640719775346,0.016059765094308016,0.015127307002416436,1.061640719775346,29058121.03709035,0.0041107339008254135,0.0038720574901227292,0.7440352410707203
omega_LLS,4.8,3,0,1.0425777705737769,0.015288024484532495,0.014663677776401098,1.0425777705737769,27346151.009100545,0.004301267073423719,0.004125607887320042,0.7186512176393043
omega_LLS,5.0,3,0,1.0268211664911666,0.014935341454127248,0.014545221642794925,1.0268211664911668,20442050.33139171,0.008483987001157474,0.008262380322903539,0.43195225718706287
omega_LLS,5.2,3,0,1.0230266497594267,0.013339024094245814,0.013038784568693883,1.023026649759427,15948867.396981873,0.008480117383878582,0.008289243868547073,0.3642625334534981
omega_LLS,5.4,3,0,1.0273590270678514,0.019569873442744103,0.01904871902337567,1.0273590270678516,-1308981.968441587,0.015968886619168152,0.015543628077853542,0.18400664849016102
