sim,Ap,ns,z,dX_per_sightline,dndx_LLS,sigma_LLS,dndx_subDLA,sigma_subDLA,dndx_DLA,sigma_DLA,in_fiducial
ns0.836Ap1.88e-09herei3.83heref2.61alphaq2.25hub0.715omegamh20.143hireionz6.62bhfeedback0.0547,1.88e-09,0.836,3.0,0.6404430627804519,0.35381547892440984,0.0009018584886096146,0.09838611686253677,0.00047804763103521724,0.04930261980862088,0.0003391950477018661,False
ns0.823Ap1.92e-09herei3.79heref3.09alphaq1.8hub0.685omegamh20.144hireionz7.08bhfeedback0.0667,1.92e-09,0.823,3.0,0.6404430627804519,0.3591331589715802,0.000909889226553766,0.10101333092152537,0.00048361142766976923,0.05149610635314188,0.0003466380984817462,False
ns0.977Ap1.96e-09herei4.12heref2.41alphaq2.73hub0.662omegamh20.14hireionz7.44bhfeedback0.0383,1.96e-09,0.977,3.0,0.640443062780452,0.4043469933573555,0.0009628730136138394,0.11579621037296246,0.0005171406680074497,0.05784840724211515,0.0003666492586173539,True
ns0.94Ap1.97e-09herei3.57heref2.71alphaq2.49hub0.672omegamh20.145hireionz7.22bhfeedback0.06,1.97e-09,0.94,3.0,0.6404430627804519,0.40533869324720595,0.0009658399412608795,0.11474351755139009,0.0005152069157408971,0.057509557621437356,0.0003655137424410537,False
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,1.98e-09,0.909,3.0,0.6404430627804519,0.3750997530979185,0.0009283566282644319,0.10693416329350225,0.0004979190394467761,0.054801019653486084,0.00035791831266796946,False
ns0.936Ap1.99e-09herei3.68heref2.64alphaq2.23hub0.707omegamh20.142hireionz6.95bhfeedback0.0674,1.99e-09,0.936,3.0,0.6404430627804519,0.3832298849967147,0.0009384193558190986,0.10757797757279007,0.0004990852482262274,0.053967449586618685,0.0003547296739245024,False
ns0.849Ap2.02e-09herei3.95heref3.05alphaq1.43hub0.725omegamh20.143hireionz7.62bhfeedback0.0333,2.02e-09,0.849,3.0,0.6404430627804519,0.35442089024668755,0.000904216202539818,0.10330395435730734,0.0004896897833181136,0.051886912915656946,0.00034868970956645465,False
ns0.894Ap2.02e-09herei3.91heref3.13alphaq1.95hub0.652omegamh20.141hireionz7.88bhfeedback0.0427,2.02e-09,0.894,3.0,0.6404430627804519,0.38445200262862594,0.0009413160685830266,0.11039268842188706,0.0005055063662022363,0.056219670065390505,0.00036194024007511115,False
ns0.92Ap2.06e-09herei3.69heref2.89alphaq1.89hub0.695omegamh20.143hireionz7.83bhfeedback0.064,2.06e-09,0.92,3.0,0.6404430627804518,0.39030958307140967,0.0009469653100937338,0.11098454575933764,0.0005064284777911668,0.05603895026769568,0.0003621780977673062,False
ns0.852Ap2.07e-09herei3.88heref2.83alphaq2.94hub0.704omegamh20.144hireionz7.94bhfeedback0.0617,2.07e-09,0.852,3.0,0.6404430627804519,0.38389854824818553,0.0009398011399213828,0.1072662359217665,0.0004982306803181356,0.053788988786395035,0.0003552073351060312,False
ns0.927Ap2.11e-09herei3.67heref2.95alphaq2.37hub0.665omegamh20.14hireionz7.57bhfeedback0.048,2.11e-09,0.927,3.0,0.6404430627804519,0.40095172015816394,0.000959757412820848,0.11388058051739729,0.0005144631776144796,0.0573017298540883,0.00036624434273741066,False
ns0.881Ap2.16e-09herei3.71heref2.91alphaq2.06hub0.728omegamh20.146hireionz7.72bhfeedback0.0413,2.16e-09,0.881,3.0,0.6404430627804519,0.3848857301430935,0.0009407504613931987,0.10950942041065358,0.0005043039686507141,0.055490013882197625,0.00036037259684758733,False
ns0.91Ap2.18e-09herei3.76heref2.86alphaq2.32hub0.657omegamh20.144hireionz7.9bhfeedback0.0474,2.18e-09,0.91,3.0,0.6404430627804519,0.4182782307621558,0.0009800032904262344,0.11823818663931387,0.0005238612927572568,0.05977533208503629,0.0003724677947674606,False
ns0.956Ap2.19e-09herei3.62heref2.58alphaq2.9hub0.729omegamh20.146hireionz6.94bhfeedback0.0417,2.19e-09,0.956,3.0,0.6404430627804519,0.4038387189263389,0.0009628397811926566,0.11645131963960624,0.0005194783376037357,0.05800427806762695,0.0003670379283454988,False
ns0.803Ap2.2e-09herei4.05heref2.67alphaq2.21hub0.735omegamh20.141hireionz7.17bhfeedback0.056,2.2e-09,0.803,3.0,0.6404430627804519,0.3602332907400475,0.0009115048027130651,0.10031530070292909,0.00048236913789997504,0.049754419302857955,0.000341842446620475,False
ns0.875Ap2.25e-09herei3.61heref3.11alphaq2.46hub0.745omegamh20.141hireionz7.28bhfeedback0.0533,2.25e-09,0.875,3.0,0.6404430627804519,0.3599509160561493,0.0009102685240880952,0.1053664190484996,0.0004951872106688847,0.05277018092689043,0.0003508983996465091,False
ns0.881Ap2.25e-09herei3.75heref2.75alphaq1.32hub0.708omegamh20.144hireionz6.62bhfeedback0.06,2.25e-09,0.881,3.0,0.640443062780452,0.39305200600142864,0.0009513067074052183,0.11254325401445552,0.0005105292829954125,0.05714811802604769,0.0003666689599552519,False
ns0.992Ap2.3e-09herei3.95heref2.81alphaq2.19hub0.705omegamh20.144hireionz7.67bhfeedback0.052,2.3e-09,0.992,3.0,0.6404430627804519,0.42265390886384185,0.000983921148024556,0.12359201064602322,0.0005343209818915531,0.06088449984338831,0.00037661694860288046,False
ns0.831Ap2.31e-09herei3.71heref2.99alphaq2.98hub0.654omegamh20.141hireionz6.69bhfeedback0.035,2.31e-09,0.831,3.0,0.6404430627804519,0.40342758138658313,0.0009645292605951283,0.1126268369208894,0.000511586051323823,0.05560296375575689,0.00035972376056477403,False
ns0.885Ap2.32e-09herei4.06heref2.94alphaq1.99hub0.67omegamh20.146hireionz6.6bhfeedback0.0379,2.32e-09,0.885,3.0,0.6404430627804519,0.41915923977591807,0.0009820653371126892,0.11787674704392422,0.0005231701556404564,0.05979340406480577,0.0003737902203710742,False
ns0.959Ap2.34e-09herei3.81heref2.99alphaq1.77hub0.725omegamh20.144hireionz6.83bhfeedback0.0467,2.34e-09,0.959,3.0,0.6404430627804519,0.40591021960741586,0.0009659549883369281,0.11767569626898872,0.000522479234564275,0.05951780637332116,0.00037267810757120047,False
ns0.829Ap2.39e-09herei3.63heref2.97alphaq1.61hub0.698omegamh20.143hireionz6.78bhfeedback0.044,2.39e-09,0.829,3.0,0.6404430627804519,0.3898058266353353,0.0009478121033345602,0.11043109137889721,0.0005068300826863262,0.05591470540678048,0.00036136661758986625,False
ns1.02Ap2.43e-09herei4.04heref2.66alphaq2.85hub0.738omegamh20.143hireionz7.31bhfeedback0.0517,2.43e-09,1.02,3.0,0.6404430627804519,0.41490102954273367,0.0009765571906114093,0.1233322259368369,0.000534068721071948,0.06151024214290666,0.0003790971102183224,False
ns0.985Ap2.44e-09herei4.01heref2.63alphaq1.85hub0.678omegamh20.142hireionz6.92bhfeedback0.0387,2.44e-09,0.985,3.0,0.6404430627804518,0.4358961520399306,0.0010010042821860063,0.12621922470501185,0.0005412429702362819,0.06386637650535301,0.0003856846316322395,False
ns0.946Ap2.48e-09herei4.05heref2.95alphaq1.38hub0.675omegamh20.145hireionz7.88bhfeedback0.0667,2.48e-09,0.946,3.0,0.6404430627804519,0.43377495341448746,0.0009990294230567956,0.12540824461285627,0.0005393391025299737,0.06364725375064803,0.00038522736443392057,False
ns0.979Ap2.48e-09herei3.99heref3.01alphaq2.33hub0.708omegamh20.141hireionz7.12bhfeedback0.0373,2.48e-09,0.979,3.0,0.640443062780452,0.4129063347756769,0.0009740591325340192,0.12085636470841771,0.0005295944491792805,0.060676672076039245,0.0003767873830527101,False
ns0.813Ap2.51e-09herei3.84heref3.02alphaq1.66hub0.68omegamh20.14hireionz7.35bhfeedback0.0326,2.51e-09,0.813,3.0,0.6404430627804519,0.3884391331652681,0.0009475766427804633,0.11100939473152066,0.0005077942125753032,0.05613608715895665,0.00036220564827499385,False
ns0.888Ap2.53e-09herei3.53heref3.07alphaq2.1hub0.738omegamh20.145hireionz6.53bhfeedback0.0627,2.53e-09,0.888,3.0,0.6404430627804519,0.3848812121481512,0.0009404438906061424,0.11331357215212975,0.0005136368461508594,0.05738983075546453,0.0003658688876727287,False
ns0.81Ap2.54e-09herei4.29heref2.91alphaq2.65hub0.746omegamh20.144hireionz7.56bhfeedback0.0483,2.54e-09,0.81,3.0,0.6404430627804519,0.38147012596666124,0.0009385947480191863,0.10824212282931858,0.000501784282362155,0.05423401128821856,0.0003564505248014463,False
