sim,z,Ap,ns,dndx_LLS_LF,dndx_LLS_HR,R_dndx_LLS,dndx_subDLA_LF,dndx_subDLA_HR,R_dndx_subDLA,dndx_DLA_LF,dndx_DLA_HR,R_dndx_DLA,omega_LLS_LF,omega_LLS_HR,R_omega_LLS,omega_subDLA_LF,omega_subDLA_HR,R_omega_subDLA,omega_DLA_LF,omega_DLA_HR,R_omega_DLA
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,4.0,1.29e-09,0.859,0.3221265334783179,0.3293278559768615,1.0223555707155938,0.07628399524456017,0.09533330767997684,1.249715715260405,0.03248329931685957,0.03858584544541859,1.187867188890867,6.308600994502604e-06,6.9921941630427394e-06,1.1083589165229861,6.0359661316317316e-05,7.650166149285717e-05,1.2674302642612096,0.0004177149260820577,0.0004589202107897968,1.0986445112082122
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,4.2,1.29e-09,0.859,0.33533383451680643,0.33433265445050453,0.9970143780219956,0.07702002058787011,0.09426731884620555,1.2239326622700453,0.03128787958868927,0.03787374632656563,1.210492587687444,6.441951433661609e-06,7.022618358311471e-06,1.0901383580161224,6.0033138965747376e-05,7.508473157586873e-05,1.2507213993709245,0.00040091529661405597,0.00044634977681008893,1.113326881213442
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,4.4,1.29e-09,0.859,0.34991775041428463,0.3405086870133713,0.9731106427445493,0.0761798230299213,0.09278171937978733,1.2179303612105434,0.03025749528121394,0.03689503111468658,1.219368317561755,6.573417769419268e-06,6.967867928227066e-06,1.0600068598473769,5.925108556947671e-05,7.406618824005297e-05,1.2500393457467434,0.0003787792038100473,0.00041655009756519227,1.099717443236632
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,4.6,1.29e-09,0.859,0.36693901160450054,0.35124250970565335,0.957223131358501,0.07575443694892661,0.09185663446921406,1.2125578140214215,0.02880438912225496,0.0352862987102656,1.225032010243278,6.7021648727892725e-06,7.01625403856303e-06,1.0468638375413528,5.8670289725939216e-05,7.29172562220756e-05,1.2428310233797522,0.0003491809061164123,0.0003930110158267478,1.1255226415379171
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,4.8,1.29e-09,0.859,0.38613102059850096,0.3660970759992477,0.9481162001224331,0.075151467070405,0.09091774954650941,1.2097934091071556,0.027372346487749485,0.03413592480225659,1.247095305385461,6.929760794625718e-06,7.129820910808751e-06,1.0288697001400375,5.763096029867754e-05,7.207284873391266e-05,1.2505925349914135,0.0003250226623496256,0.00036420369915686083,1.1205486304370011
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,5.0,1.29e-09,0.859,0.4092175227753714,0.386005979913144,0.9432782283984239,0.075370497109192,0.09132811907606955,1.2117223924337286,0.026114115223259408,0.033191331609601415,1.2710111495578624,7.139230181105097e-06,7.274786533494946e-06,1.0189875307212557,5.7561577569217035e-05,7.196592659420533e-05,1.250242429642712,0.00030054027658633903,0.0003483910257434527,1.1592157620290442
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,5.2,1.29e-09,0.859,0.4387938685082847,0.41594822892754074,0.9479353718902008,0.07619444389947683,0.09286723811463723,1.2188190288147098,0.02495465590290757,0.03189193741201277,1.2779954785229841,7.454029080410728e-06,7.586467296422565e-06,1.017767332885766,5.7270418558619295e-05,7.265103033359605e-05,1.26856119026324,0.0002844938504633881,0.00032862629184384016,1.155126169892841
ns0.859Ap1.29e-09herei3.92heref2.72alphaq1.87hub0.693omegamh20.141hireionz7.15bhfeedback0.0579,5.4,1.29e-09,0.859,0.4697726428671942,0.4558277455870604,0.9703156463198389,0.07849133791482006,0.09579649393334211,1.2204721753794265,0.02424010177088372,0.03147242336222566,1.2983618492901348,7.77092146684096e-06,8.046204643804185e-06,1.0354247791768167,5.8475262972069676e-05,7.35806171737142e-05,1.258320415059262,0.00026650043910194217,0.0003167939148057198,1.18871817199723
ns0.885Ap2.32e-09herei4.06heref2.94alphaq1.99hub0.67omegamh20.146hireionz6.6bhfeedback0.0379,2.2,2.32e-09,0.885,0.2721844874929969,0.35761341842284017,1.3138640696121278,0.08943865144119731,0.11425938615584665,1.277516871226173,0.04850844101015725,0.05282171430670183,1.0889179946154406,6.469968758962944e-06,8.564839195771643e-06,1.3237837020320453,7.570359473667627e-05,9.345917640527513e-05,1.2345407999495799,0.0008551133335158573,0.0008282395222000227,0.9685728075302709
ns0.885Ap2.32e-09herei4.06heref2.94alphaq1.99hub0.67omegamh20.146hireionz6.6bhfeedback0.0379,2.4,2.32e-09,0.885,0.3054797096815983,0.3801534308574761,1.2444474012814477,0.0945967187613023,0.12338688853007015,1.3043463890266072,0.05087993404074276,0.06056628785738512,1.190376697597247,7.084700352235195e-06,9.046250031017976e-06,1.276871226905725,7.893364543245134e-05,0.00010228440984486411,1.2958277713449273,0.0008536215618777447,0.0009798180595618745,1.1478365862813147
